YEAR,PARTY,VOTES,PERCENTAGE,SEATS,TURNOUT,VALID_VOTES
2015,PAN,8377535,22.22969592,109,47.45,37686233
2015,PRI,11636957,30.87853594,203,47.45,37686233
2015,PRD,4335321,11.50372604,61,47.45,37686233
2015,PVEM,2757170,7.316119921,47,47.45,37686233
2015,PT,1134101,3.009324386,0,47.45,37686233
2015,MC,2431063,6.450798625,25,47.45,37686233
2015,PANAL,1486626,3.944745552,11,47.45,37686233
2015,MORENA,3345712,8.87780957,35,47.45,37686233
2015,PH,856716,2.273286375,0,47.45,37686233
2015,ES,1325032,3.515957671,8,47.45,37686233
2015,Independiente,-,-,1,47.45,37686233